V,timestamps
-2.46490478515625,0.0001
-2.3291015625,0.0002
-2.1820068359375,0.00030000000000000003
-2.54241943359375,0.0004
-2.5225830078125,0.0005
-2.78717041015625,0.0006000000000000001
-2.37213134765625,0.0007
-2.24578857421875,0.0008
-2.57354736328125,0.0009000000000000001
-2.275390625,0.001
-2.76123046875,0.0011
-2.4908447265625,0.0012000000000000001
-2.49267578125,0.0013000000000000002
-2.19512939453125,0.0014
-2.24700927734375,0.0015
-2.28179931640625,0.0016
-2.29034423828125,0.0017000000000000001
-2.72705078125,0.0018000000000000002
-2.354736328125,0.0019
-2.510986328125,0.002
-2.23388671875,0.0021000000000000003
-2.5518798828125,0.0022
-2.68463134765625,0.0023
-2.58056640625,0.0024000000000000002
-2.38037109375,0.0025
-2.31719970703125,0.0026000000000000003
-2.6129150390625,0.0027
-2.567138671875,0.0028
-2.21466064453125,0.0029000000000000002
-2.525634765625,0.003
-2.29705810546875,0.0031000000000000003
-2.1392822265625,0.0032
-2.44476318359375,0.0033
-2.68951416015625,0.0034000000000000002
-2.5146484375,0.0035
-2.54913330078125,0.0036000000000000003
-2.298583984375,0.0037
-2.45758056640625,0.0038
-2.48565673828125,0.0039000000000000003
-2.628173828125,0.004
-2.3834228515625,0.0041
-2.24822998046875,0.004200000000000001
-2.24853515625,0.0043
-2.51953125,0.0044
-2.48077392578125,0.0045000000000000005
-2.2833251953125,0.0046
-2.47161865234375,0.0047
-2.34649658203125,0.0048000000000000004
-2.03338623046875,0.0049
-2.23785400390625,0.005
-2.58544921875,0.0051
-2.54241943359375,0.005200000000000001
-2.61474609375,0.0053
-2.27813720703125,0.0054
-2.17620849609375,0.0055000000000000005
-2.2998046875,0.0056
-2.21923828125,0.0057
-2.17864990234375,0.0058000000000000005
-2.3724365234375,0.0059
-1.9903564453125,0.006
-2.42431640625,0.0061
-2.2784423828125,0.006200000000000001
-2.27813720703125,0.0063
-2.5128173828125,0.0064
-2.3797607421875,0.006500000000000001
-2.12982177734375,0.0066
-2.3211669921875,0.0067
-2.6507568359375,0.0068000000000000005
-2.13226318359375,0.006900000000000001
-2.34588623046875,0.007
-2.39990234375,0.0071
-1.98822021484375,0.007200000000000001
-2.4560546875,0.0073
-2.35565185546875,0.0074
-2.46246337890625,0.007500000000000001
-2.60772705078125,0.0076
-2.07794189453125,0.0077
-2.47406005859375,0.0078000000000000005
-2.19970703125,0.0079
-2.58941650390625,0.008
-2.37701416015625,0.0081
-2.6080322265625,0.0082
-2.537841796875,0.0083
-2.46246337890625,0.008400000000000001
-2.18353271484375,0.0085
-2.27996826171875,0.0086
-2.54425048828125,0.008700000000000001
-2.578125,0.0088
-2.33551025390625,0.0089
-2.31781005859375,0.009000000000000001
-2.27294921875,0.0091
-2.49420166015625,0.0092
